	90763_231C_S65_L001_R1_001	90763_232C_S66_L001_R1_001	90763_236C_S67_L001_R1_001	90763_237C_S68_L001_R1_001	90763_238C_S69_L001_R1_001	90768_005C_S70_L001_R1_001	90768_009C_S71_L001_R1_001	90768_014C_S72_L001_R1_001	90768_015C_S73_L001_R1_001	90768_018C_S74_L001_R1_001	90768_027C_S75_L001_R1_001	90768_029C_S76_L001_R1_001	90768_034C_S77_L001_R1_001	90768_040C_S78_L001_R1_001	90768_042C_S79_L001_R1_001	90768_044C_S80_L001_R1_001	90768_054C_S81_L001_R1_001	90768_055C_S82_L001_R1_001	90768_056C_S83_L001_R1_001	90768_057C_S84_L001_R1_001	90768_061C_S85_L001_R1_001	90768_064C_S86_L001_R1_001	90768_067C_S87_L001_R1_001	90768_075C_S88_L001_R1_001	90768_076C_S89_L001_R1_001	90768_077C_S90_L001_R1_001	90768_078C_S91_L001_R1_001	90768_083C_S92_L001_R1_001	90768_084C_S93_L001_R1_001	90768_088C_S94_L001_R1_001	90768_090C_S95_L001_R1_001	90768_104C_S96_L001_R1_001
Tpa_1662_1	0,0	0,0	1,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1678_1	3,0	0,0	3,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0
Tpa_1689_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1703_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1731_1	0,109	0,25	0,117	0,4	0,39	0,26	0,1	0,0	0,14	0,3	0,11	0,25	0,1	0,16	0,19	0,20	0,0	7,7	0,4	0,20	0,1	0,14	0,8	0,1	0,1	0,4	0,62	0,4	0,8	0,8	0,3	0,0
Tpa_1774_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1775_1	2,0	0,0	1,0	0,0	2,0	8,102	0,0	0,0	16,114	1,0	1,0	2,0	0,0	225,0	185,0	87,0	17,0	0,0	31,0	347,0	0,0	1,0	124,0	5,0	1,0	100,0	472,0	1,0	0,0	98,0	10,0	0,0
Tpa_1818_1	2,0	0,1	1,0	0,0	0,1	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	0,0
Tpa_1831_1	11,0	1,3	34,0	1,0	3,0	28,0	1,0	3,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	2,0	0,0	4,0	0,0	0,0	0,0	2,0	0,0	4,0	0,0	2,0	0,0	0,0	0,0	0,1	0,0	0,0
Tpa_1832_1	2,7	5,0	5,0	10,0	12,0	4,0	0,0	0,0	1,0	0,0	4,8	2,0	0,0	1,3	8,0	1,0	0,0	24,0	0,0	3,0	0,0	5,0	0,0	1,0	0,0	0,0	27,0	6,0	9,0	1,0	0,0	0,0
Tpa_1843_1	26,0	6,0	13,13	0,0	1,0	5,0	0,0	0,0	0,0	0,0	7,0	9,0	0,0	0,0	0,0	3,0	0,0	0,1	0,0	4,0	0,0	3,0	0,0	1,0	0,0	1,0	2,0	0,0	2,0	0,0	0,0	0,0
Tpa_1891_1	0,28	0,3	0,81	0,0	0,1	0,10	0,1	0,0	0,1	0,1	0,3	0,5	0,1	0,0	0,4	0,3	0,0	0,2	0,1	3,1	0,0	0,2	0,0	0,0	0,2	0,0	0,10	0,0	0,1	0,1	0,2	0,0
Tpa_1896_1	0,3	0,1	0,26	0,0	0,4	0,1	0,0	0,0	0,2	0,0	0,8	0,0	0,0	0,1	0,0	0,0	0,0	0,10	0,0	0,2	0,0	0,1	0,1	0,0	0,0	0,0	0,18	0,2	0,0	0,0	0,0	0,0
Tpa_1917_1	0,0	0,0	1,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1930_1	8,3	0,1	0,36	0,0	0,0	0,1	0,0	0,0	0,1	0,0	3,0	0,1	0,0	0,0	0,0	2,0	0,1	5,4	0,0	0,0	0,0	1,0	0,0	0,0	0,1	0,0	0,5	0,0	0,0	0,0	0,0	0,0
Tpa_1966_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2006_1	0,0	0,0	1,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2010_1	4,0	1,0	7,0	1,0	0,0	2,0	2,0	0,0	0,0	0,0	2,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,0	0,0	0,0	0,0	0,0	0,0
Tpa_2021_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2034_1	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2040_1	4,2	0,1	0,15	0,0	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,3	0,0	0,0	0,0	0,0	0,0
Tpa_2041_1	0,1	0,1	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0
Tpa_2073_1	0,7	2,0	0,5	0,1	0,2	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	1,0	0,1	0,0	0,2	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,3	0,0	0,0	0,1	0,0	0,0
Tpa_2076_1	0,7	5,4	0,25	0,0	0,11	0,9	0,0	0,0	1,1	0,1	2,1	0,1	0,0	0,0	0,2	0,1	0,1	0,12	0,0	0,3	0,0	0,6	0,1	0,0	0,0	0,2	0,13	0,3	0,1	0,1	0,0	0,0
Tpa_2096_1	1,4	0,0	0,24	0,1	0,0	0,3	0,0	1,0	0,1	0,0	0,1	0,2	0,0	0,0	0,0	0,1	0,1	0,3	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	1,0	0,0	0,0
Tpa_2128_1	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2157_1	80,0	20,0	110,0	3,0	15,0	18,0	0,0	0,0	3,0	0,0	3,0	8,0	1,0	3,0	0,0	3,8	1,0	24,0	1,0	11,0	0,0	9,0	4,0	0,0	0,0	0,0	43,0	2,0	4,0	0,0	0,0	0,0
Tpa_2180_1	0,3	0,0	0,5	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0
Tpa_2194_1	0,0	0,0	6,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	2,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2207_1	31,0	5,0	67,0	1,0	11,0	28,0	0,0	0,0	2,0	0,0	3,0	12,0	0,0	1,0	4,0	7,0	0,0	5,0	0,0	5,0	2,0	7,0	1,1	1,0	0,0	0,0	19,0	0,0	1,0	3,0	0,0	0,0
Tpa_2254_1	1,0	1,0	0,4	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0
Tpa_2278_1	0,10	0,4	0,27	0,1	0,2	1,3	0,0	0,1	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0
Tpa_2334_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2344_1	73,47	0,16	0,194	0,3	11,0	0,39	0,0	0,2	1,9	0,4	0,9	0,14	0,1	0,11	0,2	0,3	0,0	0,13	0,1	0,12	0,0	0,13	1,2	0,0	1,2	0,2	0,21	0,3	2,2	0,0	0,2	0,0
Tpa_2353_1	34,0	6,0	69,0	2,0	6,12	13,0	0,0	0,0	1,0	1,0	1,3	11,0	1,0	3,2	3,0	0,4	0,0	13,0	0,0	3,0	0,0	2,1	3,0	2,0	2,0	0,0	33,0	2,0	2,0	0,1	1,0	0,0
Tpa_2368_1	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2412_1	0,72	0,33	0,123	1,61	0,81	0,15	0,9	0,3	0,74	0,5	29,43	0,54	0,2	22,28	0,59	0,31	0,4	0,85	0,9	0,120	0,2	0,40	0,16	0,0	0,8	0,19	0,88	0,22	0,49	0,22	0,2	0,0
Tpa_2417_1	0,12	0,1	0,10	0,0	0,4	0,2	0,0	0,0	0,1	0,0	0,1	0,3	0,0	0,0	0,3	0,3	0,1	0,2	0,1	0,1	0,0	0,2	0,1	0,1	0,0	0,0	0,10	0,0	0,2	0,1	0,0	0,0
Tpa_2453_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2458_1	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2460_1	0,4	0,1	0,17	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0
Tpa_2470_1	5,0	3,0	8,0	1,0	11,0	3,0	0,0	0,0	2,0	1,1	5,0	1,0	1,0	3,0	1,0	1,0	0,0	11,0	0,0	8,0	0,0	3,0	0,0	0,0	0,0	1,0	10,0	2,0	2,0	1,0	1,0	1,0
Tpa_2483_1	41,0	0,1	31,37	1,0	9,0	10,0	0,0	0,0	7,0	1,0	6,0	5,0	3,0	0,5	1,0	1,0	0,0	9,0	0,0	2,0	0,0	2,0	0,0	1,0	0,0	2,0	15,1	1,0	1,0	1,0	1,0	0,0
Tpa_2498_1	2,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0
Tpa_2509_1	2,0	0,0	1,2	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2518_1	4,3	0,9	0,16	0,5	4,3	0,6	0,0	0,0	2,3	0,0	0,5	0,1	0,0	0,3	0,0	0,2	0,0	4,6	0,1	7,2	0,0	0,3	0,4	0,2	0,0	2,0	12,12	0,2	0,8	0,3	0,0	0,0
Tpa_2519_1	0,0	0,0	1,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,1	0,0	0,0	0,0	0,0
Tpa_2523_1	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2581_1	0,31	0,4	13,64	0,1	0,4	0,3	0,2	0,0	0,2	0,1	0,2	0,3	0,1	0,3	0,1	0,0	0,0	0,2	0,1	0,3	0,0	0,1	0,0	0,0	0,1	0,0	5,1	0,1	0,1	0,1	0,1	0,0
Tpa_2601_1	0,251	26,27	200,0	27,0	86,0	164,0	4,7	5,3	5,4	0,9	36,0	0,66	4,4	17,12	11,10	17,14	0,5	49,0	8,2	57,0	7,3	13,11	4,0	3,3	4,5	3,4	3,203	5,0	7,10	4,1	0,0	0,0
Tpa_2608_1	64,0	14,0	118,0	1,3	8,4	21,0	0,0	0,0	2,0	0,0	6,3	9,0	0,0	2,2	6,0	8,0	0,0	21,0	3,0	11,0	0,1	3,0	6,0	1,0	0,0	3,0	17,13	0,0	6,0	2,0	0,0	0,0
Tpa_2636_1	12,0	16,0	15,0	13,0	18,0	5,0	2,0	0,0	11,0	0,0	13,0	5,0	1,0	4,0	6,0	7,0	0,0	36,0	1,0	26,0	0,0	5,0	1,0	2,0	0,0	0,0	42,0	8,0	10,0	1,0	0,0	0,0
Tpa_2639_1	0,1	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2664_1	4,0	0,0	4,0	0,0	2,0	1,0	0,0	0,0	0,0	0,0	1,1	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0
Tpa_2702_1	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2712_1	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2734_1	2,0	0,0	3,0	0,0	1,0	4,0	0,0	0,0	0,19	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2741_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2745_1	8,0	1,0	25,0	0,0	0,0	1,0	1,0	1,0	0,0	0,0	0,0	5,0	0,0	0,0	1,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0
Tpa_2763_1	11,0	0,0	13,0	0,0	0,0	6,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2845_1	0,1	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,3	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,4	0,0	0,0	0,0	0,0	0,0
Tpa_2854_1	13,0	0,0	8,0	0,0	0,0	2,4	0,0	0,0	3,0	0,0	0,0	0,0	0,0	1,1	2,0	0,2	0,0	1,0	0,0	4,0	0,0	3,0	0,0	0,0	0,0	1,0	8,0	0,0	0,0	0,0	0,0	0,0
Tpa_2856_1	6,0	13,0	2,2	17,0	17,0	1,3	1,0	0,0	3,4	0,0	9,0	1,0	4,0	0,1	8,0	0,3	1,0	10,7	4,0	17,0	0,0	9,0	3,0	2,0	0,0	3,0	21,0	2,0	10,0	6,0	0,0	0,0
Tpa_2861_1	1,18	0,4	0,84	0,0	2,1	0,14	0,0	0,0	0,1	0,0	0,2	0,5	0,0	0,3	0,0	0,2	0,0	0,6	0,0	0,1	0,0	3,0	0,0	0,0	0,0	0,0	0,10	0,1	0,2	0,0	0,0	0,0
Tpa_2868_1	8,0	3,0	15,0	1,0	1,1	2,1	0,0	0,0	1,0	0,0	1,0	1,0	0,0	0,0	1,0	4,0	0,0	6,0	0,0	4,0	0,0	2,0	0,0	0,0	0,0	0,0	8,0	0,0	2,3	0,0	0,0	0,0
Tpa_2900_1	0,1	0,1	0,2	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0
Tpa_2907_1	5,5	0,1	7,11	0,0	1,0	0,5	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,1	0,0	1,0	0,0	0,2	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	5,3	0,0	0,0	0,0	0,0	0,0
Tpa_2961_1	0,0	0,0	29,0	2,0	3,0	3,0	1,0	0,0	0,0	0,0	1,0	2,0	1,0	1,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	2,0	1,0	0,0	1,0	0,0	0,0	0,0
Tpa_2970_1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0
Tpa_3004_1	0,2	0,0	0,7	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0
Tpa_3011_1	0,7	0,2	0,18	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,2	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,1	0,0	0,0	0,0
Tpa_3018_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_3047_1	25,0	16,0	10,0	2,0	3,0	4,0	0,0	0,0	3,0	0,0	2,0	44,0	5,0	3,28	9,0	3,0	0,0	5,0	0,0	2,0	0,0	3,0	0,0	1,0	0,0	0,0	3,0	0,0	1,0	0,0	0,0	0,0
Tpa_3055_1	2,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_3063_1	0,2	0,0	0,0	0,0	2,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	2,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_3129_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_3149_1	1,0	0,0	18,0	1,0	1,0	0,0	0,0	0,0	1,0	0,0	1,0	0,2	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0
Tpa_3193_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_3197_1	0,3	0,0	0,13	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,1	0,0	0,0
Tpa_3200_1	1,0	0,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0
Tpa_3248_1	0,48	0,0	0,4	0,0	0,6	0,65	0,0	0,4	0,0	0,0	0,1	0,22	0,2	0,0	0,3	0,0	0,1	0,1	0,4	0,8	0,0	0,0	0,1	0,0	0,0	0,3	0,0	0,0	0,2	0,0	0,0	0,0
Tpa_3254_1	3,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0
Tpa_3262_1	96,0	7,10	53,34	4,0	7,0	34,0	0,0	0,0	0,2	0,0	0,5	42,0	0,0	1,0	1,0	11,0	0,0	5,0	3,0	1,3	0,0	2,0	0,0	0,0	0,0	1,0	7,10	3,0	1,0	2,0	0,0	0,0
Tpa_3263_1	11,0	5,0	5,0	1,0	5,0	2,0	0,0	0,0	2,0	1,0	6,0	1,0	0,1	1,0	2,0	1,0	0,0	15,0	0,0	6,0	0,0	0,0	1,0	0,0	1,0	0,0	4,5	1,0	1,0	0,0	0,0	0,0
Tpa_3310_1	3,1	1,0	13,0	0,0	0,0	11,0	0,0	0,0	0,0	0,0	2,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0
Tpa_3347_1	3,0	2,0	0,0	1,0	1,1	1,0	0,0	0,0	1,0	0,0	2,0	1,0	0,0	0,0	1,0	0,0	1,0	5,0	0,0	0,2	1,0	0,1	0,0	1,0	0,1	0,0	2,0	0,0	3,0	0,0	0,0	0,0
Tpa_3354_1	0,18	0,14	0,19	0,17	0,31	0,9	0,0	0,1	0,4	0,0	0,8	0,3	0,0	7,2	0,6	0,11	0,0	0,40	0,2	0,17	0,0	0,15	0,2	0,1	0,4	0,1	0,36	2,2	0,13	0,3	0,1	0,0
Tpa_3364_1	0,7	1,0	16,15	1,0	0,1	3,0	0,0	0,0	0,0	0,0	0,1	2,0	0,0	0,0	2,0	0,3	0,0	1,0	0,0	1,0	0,0	2,0	0,1	1,0	0,0	0,1	1,1	0,0	0,0	0,0	0,0	0,0
Tpa_3385_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_3439_1	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_3502_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_3561_1	0,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0
Tpa_3569_1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0
Tpa_3583_1	0,0	0,1	0,7	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,0	0,3	0,0	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,4	0,0	0,0	0,0	0,0	0,0
Tpa_3616_1	0,47	0,7	0,154	0,27	0,43	0,6	0,5	0,0	0,16	0,1	0,52	0,0	0,4	0,17	0,31	0,18	0,0	0,60	0,2	0,31	0,1	0,37	0,9	0,1	0,2	0,11	0,103	0,4	0,5	0,6	0,1	0,0
Tpa_3674_1	1,4	0,1	0,18	0,0	0,0	0,2	0,1	0,0	0,0	0,0	0,1	0,1	0,0	0,1	0,1	0,0	0,0	0,0	0,1	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,1	0,0	0,0
Tpa_3676_1	1,0	1,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
