	52507_184_S27_L001_R1_001	52507_212_S28_L001_R1_001	52507_240_S29_L001_R1_001	52507_271_S30_L001_R1_001	52507_351_S31_L001_R1_001	52507_356_S32_L001_R1_001	52507_362_S33_L001_R1_001	52507_385_S1_L001_R1_001	52507_392_S2_L001_R1_001	52507_397_S3_L001_R1_001	52507_401_S4_L001_R1_001	52507_406_S5_L001_R1_001	52507_407_S6_L001_R1_001	52507_411_S7_L001_R1_001	52507_413_S8_L001_R1_001	52507_414_S9_L001_R1_001	52507_415_S10_L001_R1_001	52507_418_S11_L001_R1_001	52507_422_S12_L001_R1_001	52507_425_S13_L001_R1_001	52507_429_S14_L001_R1_001	52507_431_S15_L001_R1_001	52507_440_S16_L001_R1_001	52507_442_S17_L001_R1_001	52507_445_S18_L001_R1_001	52507_465_S19_L001_R1_001	52507_467_S20_L001_R1_001	52507_472_S21_L001_R1_001	52507_473_S22_L001_R1_001	52507_477_S23_L001_R1_001	52507_479_S24_L001_R1_001	52507_484_S25_L001_R1_001	52507_485_S26_L001_R1_001	52508_002_S34_L001_R1_001	52508_004_S35_L001_R1_001	52508_011_S36_L001_R1_001	52508_014_S37_L001_R1_001	52508_017_S38_L001_R1_001	52508_019_S39_L001_R1_001	52508_022_S40_L001_R1_001	52508_024_S41_L001_R1_001	52508_025_S42_L001_R1_001	52508_027_S43_L001_R1_001	52508_031_S44_L001_R1_001	52508_033_S45_L001_R1_001	52508_036_S46_L001_R1_001	52508_039_S47_L001_R1_001	52508_040_S48_L001_R1_001	52508_043_S49_L001_R1_001	52508_046_S50_L001_R1_001	52508_047_S51_L001_R1_001	52508_052_S52_L001_R1_001	52508_056_S53_L001_R1_001	52508_062_S54_L001_R1_001	52508_064_S55_L001_R1_001	52508_065_S56_L001_R1_001	52508_069_S57_L001_R1_001	52508_070_S58_L001_R1_001	52508_078_S59_L001_R1_001	52508_079_S60_L001_R1_001	52508_086_S61_L001_R1_001	52508_087_S62_L001_R1_001	52508_088_S63_L001_R1_001	52508_090_S64_L001_R1_001	52508_091_S65_L001_R1_001	52508_101_S66_L001_R1_001	52508_105_S67_L001_R1_001	52508_106_S68_L001_R1_001	52508_111_S69_L001_R1_001	52508_114_S70_L001_R1_001	52508_115_S71_L001_R1_001	52508_117_S72_L001_R1_001	52508_119_S73_L001_R1_001	52508_127_S74_L001_R1_001	52508_129_S75_L001_R1_001	52508_131_S76_L001_R1_001	52508_134_S77_L001_R1_001	52508_135_S78_L001_R1_001	52508_139_S79_L001_R1_001	52508_143_S80_L001_R1_001	52508_145_S81_L001_R1_001	52508_149_S82_L001_R1_001	52508_156_S83_L001_R1_001	52508_157_S84_L001_R1_001	52508_158_S85_L001_R1_001	52508_167_S86_L001_R1_001	52508_168_S87_L001_R1_001	52508_173_S88_L001_R1_001	52508_174_S89_L001_R1_001	52508_176_S90_L001_R1_001	52508_179_S91_L001_R1_001	52508_182_S92_L001_R1_001	52508_183_S93_L001_R1_001	52508_189_S94_L001_R1_001	52508_201_S95_L001_R1_001
Tpa_1831_1	50,0	693,0	8,0	207,0	38,0	149,0	14,0	7,0	5,2	69,0	1,0	5,0	1,0	1,0	5,0	0,0	3,1	3,0	0,1	0,0	2,0	7,0	7,0	18,15	5,0	24,0	34,0	4,0	39,0	1,0	5,8	30,0	7,0	3,0	7,0	373,0	1,0	959,0	1,0	0,0	2,0	0,1	0,4	4,0	14,0	19,0	4,0	3,0	3,0	1,0	2,0	34,0	2,0	0,0	2,0	2,0	4,0	1,0	0,1	315,0	1,0	4,0	13,0	15,0	6,0	0,0	3,0	3,0	0,0	1,0	2,0	1,0	7,0	123,0	11,0	11,0	1,0	0,0	6,0	6,0	1,0	19,0	9,0	109,0	4,0	0,0	0,0	3,2	78,0	1,0	0,0	0,0	5,0	2,0	0,0
Tpa_1832_1	4,0	308,0	3,0	17,0	19,0	32,0	2,0	0,0	1,0	1,4	0,0	1,0	0,0	1,0	2,0	0,0	2,0	5,0	1,0	1,0	0,0	2,0	1,0	4,0	8,0	5,0	2,0	0,0	3,0	2,0	0,0	5,0	10,0	3,0	0,0	251,0	0,0	15,0	1,0	0,0	0,0	1,0	1,0	0,0	2,0	4,0	0,0	6,0	5,0	1,0	1,0	7,4	1,0	0,0	0,0	7,0	9,0	2,0	2,0	10,0	0,0	2,0	9,0	8,0	0,0	0,0	8,0	3,0	1,0	0,0	1,0	1,0	6,0	8,0	2,0	1,0	1,0	0,0	1,0	1,0	0,0	6,0	11,0	4,0	0,0	0,0	0,0	1,0	16,0	2,0	1,0	0,0	3,0	0,0	0,0
Tpa_1843_1	36,0	191,0	3,0	107,0	33,0	75,0	6,0	2,0	1,0	1,0	0,0	2,0	0,0	0,0	4,4	0,0	9,0	5,0	1,0	2,0	1,0	4,0	3,3	17,0	13,0	10,0	7,0	3,0	19,0	2,0	9,0	18,0	16,0	4,0	0,0	104,0	1,0	32,0	1,0	1,0	0,0	0,0	7,0	1,0	1,0	30,0	1,0	1,0	2,0	3,0	1,0	9,0	0,0	3,0	0,0	9,0	2,0	3,0	7,0	26,0	0,0	3,0	34,0	17,0	0,0	0,0	18,0	7,0	0,0	1,0	0,0	0,0	3,0	57,68	1,0	1,0	0,0	0,0	3,0	2,0	1,0	28,33	8,0	15,0	1,0	0,0	1,0	2,1	59,0	3,0	2,0	1,1	8,0	1,0	0,0
Tpa_1847_1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_1891_1	0,67	0,440	0,5	0,202	0,70	0,122	0,3	0,2	0,0	0,3	0,1	0,5	0,1	0,3	0,10	0,0	0,20	0,6	0,1	0,1	0,0	0,10	0,6	0,14	0,12	0,41	0,10	0,6	0,23	0,5	0,11	0,23	0,32	0,7	0,0	0,297	0,1	0,56	0,1	0,1	0,0	0,0	0,7	0,2	0,2	0,22	0,1	0,5	0,8	0,0	0,1	0,10	0,1	0,2	0,0	0,9	8,8	0,2	0,3	0,46	0,0	0,3	0,35	12,12	0,2	0,2	0,20	0,11	0,0	0,0	0,0	0,1	0,9	0,212	0,4	0,3	0,1	0,0	0,12	0,1	1,1	0,43	0,3	0,15	0,3	0,0	0,1	0,5	0,113	0,8	0,0	0,1	0,2	0,4	0,0
Tpa_1896_1	5,2	0,193	0,1	0,37	0,16	0,67	0,4	0,1	0,0	0,1	0,0	0,4	0,0	0,3	0,4	0,0	0,8	0,4	1,0	0,1	0,2	0,5	0,2	0,7	0,5	0,3	0,8	0,0	0,1	0,0	0,3	0,11	0,22	0,0	0,0	0,143	0,2	0,22	0,2	0,0	0,1	0,1	0,0	2,0	0,4	0,8	0,0	0,3	3,2	0,1	1,1	0,16	0,0	0,1	0,0	0,11	0,9	0,3	0,3	0,4	0,0	0,3	2,2	0,6	0,2	0,0	0,5	0,8	0,0	0,0	0,2	0,0	0,5	0,57	0,1	0,1	0,1	0,0	0,1	0,3	0,0	0,15	0,9	0,7	0,1	0,0	0,1	0,0	0,29	0,4	0,1	0,0	0,3	1,4	0,0
Tpa_1917_1	4,2	36,0	0,0	25,0	2,3	0,14	0,0	2,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	2,0	2,0	0,0	0,0	0,0	1,0	0,1	0,4	3,1	1,3	1,0	1,0	0,0	1,0	1,0	2,0	6,0	1,0	0,0	45,0	0,0	12,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	2,1	0,0	0,0	0,0	1,0	1,1	1,2	0,0	0,0	0,0	1,0	1,0	0,1	1,0	3,4	0,0	0,0	6,0	3,0	0,0	0,0	1,3	4,0	0,0	0,0	0,0	0,0	0,0	0,33	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,6	3,0	3,0	0,0	0,0	0,0	1,2	7,9	0,0	0,0	0,0	0,0	1,0	0,0
Tpa_1930_1	0,17	0,274	0,2	0,81	0,25	42,51	0,1	0,2	2,0	0,0	0,0	2,3	0,0	0,1	5,4	0,0	0,8	0,2	0,0	1,0	1,1	4,1	3,0	0,11	0,11	0,12	4,1	0,0	0,13	0,6	0,4	0,11	0,9	4,1	0,0	0,270	0,1	0,33	0,0	0,0	1,0	2,1	0,5	0,0	0,2	0,28	0,1	0,3	0,1	3,1	0,1	7,3	0,0	0,0	0,2	2,0	4,7	1,0	2,1	0,17	0,0	1,3	0,20	0,6	0,1	0,0	0,10	1,1	0,0	0,1	0,0	0,0	5,0	0,105	0,5	0,4	0,2	0,0	0,4	0,2	1,1	19,8	5,2	0,9	1,0	0,0	0,0	0,1	30,32	2,1	0,0	1,0	1,0	3,1	0,0
Tpa_1966_1	0,0	2,563	0,5	0,0	0,0	0,190	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,9	0,0	0,18	0,0	0,4	0,0	0,1	0,0	0,0	0,51	0,0	0,43	0,0	0,0	43,0	0,0	0,0	0,0	0,41	0,0	0,0	2,513	0,0	1,0	1,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,1	0,6	0,0	0,0	0,13	0,2	0,1	0,1	0,7	0,15	0,3	0,0	0,0	0,0	0,0	120,71	27,0	2,0	0,0	0,18	0,0	0,0	0,0	0,0	0,0	0,0	0,281	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,49	0,0	0,0	0,0	0,0	0,0	0,0	0,70	1,0	0,0	0,0	0,0	3,0	0,0
Tpa_2006_1	169,0	2197,2	7,0	819,0	94,84	770,0	14,0	21,0	8,0	10,4	1,0	14,12	0,0	17,0	16,22	3,0	100,0	39,0	3,0	3,0	9,0	56,0	23,19	74,0	81,0	107,0	24,0	0,6	71,0	17,0	48,0	106,0	134,0	9,7	0,0	1833,3	1,1	284,0	2,2	0,0	2,0	0,0	15,10	4,2	20,0	80,0	5,0	16,0	30,0	17,0	3,4	60,0	5,0	9,0	3,0	38,0	65,0	12,0	19,0	155,0	1,0	26,0	179,0	94,0	5,0	5,0	102,0	53,0	2,0	1,0	10,0	1,0	22,21	427,342	16,0	10,6	5,0	0,0	18,0	5,6	3,0	272,1	77,0	34,25	5,0	0,0	1,0	27,0	155,141	16,12	6,0	3,0	25,0	15,0	1,0
Tpa_2010_1	50,0	623,0	5,0	203,0	65,0	176,0	3,0	9,0	2,0	5,0	1,0	11,0	0,0	6,0	9,0	0,0	26,0	13,0	2,0	4,0	2,0	14,0	10,0	16,0	29,0	16,0	14,0	2,0	27,0	9,0	21,0	30,0	47,0	4,0	1,0	473,0	1,0	71,0	4,0	0,0	0,0	0,0	6,0	2,0	9,0	38,0	1,0	1,0	7,0	5,0	3,0	26,0	3,0	2,0	2,0	12,0	20,0	5,0	8,0	52,0	0,0	14,0	75,0	28,0	1,0	0,0	32,0	16,0	1,0	0,0	2,0	0,0	11,0	262,0	4,0	4,0	1,0	0,0	8,0	8,0	2,0	70,0	29,0	14,0	2,0	0,0	0,0	7,0	88,0	7,0	1,0	3,0	6,0	3,0	0,0
Tpa_2021_1	63,0	1577,2	13,0	442,0	125,0	430,1	11,0	11,1	5,0	7,0	0,0	25,0	0,0	6,0	21,0	2,0	28,33	20,0	3,0	9,0	9,0	27,0	22,0	44,0	75,0	35,40	39,0	8,0	46,0	5,0	22,0	30,35	72,0	10,5	1,0	1549,2	1,0	180,0	0,0	1,0	1,0	2,0	32,0	6,0	14,0	21,28	2,0	2,4	15,0	4,6	4,0	52,0	2,0	7,0	3,0	19,20	49,0	7,0	14,0	103,1	1,0	13,0	93,0	53,0	3,0	4,0	60,0	30,0	0,2	0,0	6,0	1,0	21,0	795,0	6,0	11,0	5,1	0,0	17,0	8,0	4,0	93,0	41,0	52,0	4,0	0,0	2,1	16,0	222,0	22,0	2,0	3,0	19,0	15,0	2,0
Tpa_2034_1	17,0	515,0	4,0	115,0	22,0	154,1	8,0	2,0	3,0	8,0	0,0	4,0	0,0	3,0	4,0	0,0	15,0	8,0	1,0	1,0	1,0	7,0	4,0	13,0	18,0	23,0	13,0	2,0	16,0	4,0	12,0	11,0	15,0	3,0	0,0	431,0	0,0	70,0	1,0	0,0	1,0	0,0	3,0	2,0	5,0	21,0	0,0	0,0	1,0	3,0	0,0	12,0	1,0	2,0	2,0	13,0	13,0	0,0	6,0	46,0	0,0	7,0	29,0	13,0	0,0	1,0	15,0	8,0	0,0	0,0	1,0	0,0	5,0	66,0	5,0	4,0	1,0	0,0	5,0	5,0	0,0	27,0	16,0	19,0	3,0	0,0	0,0	7,0	65,0	2,0	2,0	0,0	4,0	1,0	1,0
Tpa_2040_1	0,221	0,2253	0,19	0,612	128,102	0,398	8,5	0,6	0,7	0,20	0,2	0,21	0,2	0,13	0,16	0,2	33,50	0,29	0,6	2,2	0,4	0,57	0,18	0,41	0,82	0,94	0,52	0,2	130,1	7,7	35,40	46,42	0,118	0,18	0,1	0,1922	0,6	0,252	0,5	0,3	0,7	1,0	0,34	0,6	0,22	0,64	4,0	2,3	17,14	0,7	0,8	0,66	0,9	0,6	0,7	0,46	37,29	0,9	0,13	0,219	0,2	0,25	142,107	0,82	0,5	0,3	40,53	29,0	0,4	0,1	0,8	0,0	26,27	476,420	0,27	0,24	0,4	0,0	0,19	0,9	0,12	0,243	49,38	0,78	7,6	0,0	0,3	0,29	1,314	13,12	0,6	0,1	13,10	0,15	0,3
Tpa_2041_1	0,51	1,930	0,10	0,452	0,109	0,313	0,6	0,10	0,8	0,2	0,1	0,9	0,0	0,5	0,22	0,1	0,28	0,21	0,2	0,5	0,8	0,17	0,18	0,21	0,51	0,69	0,32	0,9	0,24	0,10	0,12	0,38	0,67	0,11	0,1	0,910	3,0	0,144	0,6	0,1	0,1	0,0	0,20	0,3	0,8	0,45	0,2	0,8	0,14	0,11	0,7	0,25	0,5	0,6	0,0	0,20	0,53	0,4	0,3	0,54	0,1	0,6	0,70	0,51	0,3	0,5	0,37	0,32	0,1	0,0	0,5	0,2	0,20	1,447	0,2	0,4	0,1	0,0	0,9	0,4	0,3	0,90	0,36	0,39	0,8	0,1	0,1	0,18	0,201	0,15	0,6	0,1	0,14	0,10	0,0
Tpa_2073_1	0,2	0,39	0,0	0,2	0,2	0,12	0,0	0,0	0,0	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,1	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,16	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,1	0,2	0,2	0,0	0,0	0,2	0,0	0,0	0,2	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,5	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	1,1	0,0	0,0	0,1	0,0	2,3	0,2	0,0	0,0	0,0	0,0	0,0
Tpa_2076_1	0,14	1,309	0,2	0,39	0,22	0,41	0,1	0,1	0,0	0,3	0,0	0,1	0,0	1,2	0,2	0,0	0,9	1,0	0,3	1,1	0,1	0,5	0,0	0,15	0,3	0,0	0,6	0,1	1,0	0,2	0,1	4,6	0,14	0,3	0,2	0,241	0,0	0,24	0,0	0,0	0,0	0,0	0,6	0,1	0,5	0,1	0,1	0,2	0,2	0,0	0,2	0,8	0,2	0,1	0,0	0,6	0,7	0,2	0,1	12,13	0,0	0,1	0,19	0,8	0,2	0,1	0,0	0,4	0,0	0,2	0,1	0,0	1,8	0,76	0,0	0,7	0,1	0,0	2,0	0,1	0,0	0,7	0,10	0,8	0,0	0,0	0,0	0,1	0,19	0,0	0,1	0,0	0,2	0,4	0,0
Tpa_2096_1	0,12	186,214	5,3	1,108	0,28	0,89	0,6	0,1	0,1	0,5	0,0	0,3	0,0	0,2	0,9	0,0	0,10	0,5	0,0	0,0	0,2	0,9	1,1	0,10	0,12	4,5	0,10	0,1	0,14	0,4	0,5	0,15	0,20	0,4	0,0	172,176	0,1	0,47	0,2	0,0	0,0	0,0	0,3	0,0	0,2	0,19	0,2	2,1	0,1	1,0	0,0	0,13	0,1	0,1	0,0	0,6	0,7	0,4	0,5	0,26	0,0	0,0	0,23	0,9	0,0	0,1	0,14	0,8	0,0	0,0	2,0	0,0	0,2	0,39	0,0	0,4	0,0	0,0	3,0	0,1	0,0	0,19	0,10	6,9	0,2	0,0	0,1	0,8	0,37	0,3	0,0	0,1	0,5	0,1	0,0
Tpa_2128_1	83,0	491,0	7,0	722,1	65,0	264,0	9,0	11,0	6,0	6,0	1,0	12,0	2,0	5,0	29,0	0,0	36,0	15,0	1,0	4,0	2,0	8,18	9,0	43,0	61,0	42,0	30,0	1,0	63,0	15,0	26,0	16,32	40,0	6,5	0,0	620,0	0,0	311,0	3,0	3,0	1,0	1,0	14,0	0,0	11,0	91,0	1,0	5,0	13,0	2,3	3,0	32,0	4,0	4,0	1,0	20,0	27,0	4,0	2,9	94,0	1,0	11,0	243,0	26,47	4,1	1,0	43,0	14,0	2,0	1,0	4,0	0,0	10,8	851,0	7,0	5,0	0,0	0,0	3,0	5,2	0,2	203,1	30,0	62,0	1,1	0,0	0,0	6,8	237,0	7,0	2,0	2,0	4,0	7,0	2,0
Tpa_2157_1	31,0	681,0	4,2	182,0	58,0	95,0	6,0	9,0	1,0	9,0	1,0	7,6	2,0	3,0	11,0	0,0	22,0	13,0	0,0	0,0	3,0	13,0	13,0	19,0	20,0	8,12	7,0	0,0	14,0	3,0	17,0	21,0	47,0	6,0	0,0	600,0	2,0	74,0	1,0	0,0	1,0	0,0	12,0	2,0	0,0	20,0	1,0	3,0	5,0	0,0	3,0	17,20	1,0	1,0	0,0	18,0	20,0	3,0	5,0	49,0	0,1	1,0	42,0	21,0	0,1	2,0	23,0	16,0	0,0	0,0	2,0	0,0	5,5	152,0	1,0	3,0	0,0	0,0	10,0	3,0	3,0	52,0	31,0	21,0	0,0	0,0	3,0	8,0	66,0	8,0	2,0	0,0	2,0	4,0	0,0
Tpa_2180_1	0,20	0,256	0,4	19,46	0,34	0,102	0,2	0,7	0,3	0,3	0,0	3,1	0,0	0,3	0,3	0,0	0,12	0,13	0,2	0,2	0,1	0,9	5,3	0,5	0,24	0,8	0,7	0,1	0,7	0,1	0,11	0,12	0,38	0,4	0,0	0,204	0,0	13,23	0,1	0,1	0,2	0,0	0,3	2,0	0,6	0,4	0,2	0,2	0,6	0,1	0,0	0,22	0,1	0,5	0,0	0,15	0,17	0,3	0,4	0,27	0,0	0,1	7,4	0,13	0,2	0,2	0,16	0,10	0,0	0,0	0,5	0,2	0,9	0,93	0,5	0,4	0,1	0,1	0,10	0,2	0,2	0,23	0,7	0,10	0,1	0,0	0,1	0,8	1,47	0,1	0,2	0,0	0,1	0,5	0,0
Tpa_2194_1	26,0	175,179	0,0	0,46	24,0	78,0	0,1	0,1	1,0	0,1	0,0	0,4	1,0	1,2	2,1	0,0	9,0	3,4	0,0	0,0	0,1	8,0	5,0	0,1	8,0	0,3	6,0	1,0	14,0	1,0	5,0	9,5	0,17	1,2	0,0	144,149	0,1	0,23	1,0	0,0	3,1	1,0	4,0	0,1	1,0	19,0	0,0	0,1	5,0	3,0	0,0	12,0	0,0	1,0	0,0	4,3	8,0	0,0	2,0	15,16	0,0	3,0	16,0	3,4	0,0	0,0	11,0	5,0	0,0	0,0	1,0	0,0	3,2	22,17	1,0	2,1	1,0	0,0	3,0	1,0	0,0	0,15	7,7	17,0	1,0	0,0	0,0	2,2	16,15	4,0	0,0	1,0	0,2	2,0	0,0
Tpa_2207_1	40,0	390,0	3,0	0,108	54,0	84,0	1,0	1,4	1,2	2,3	0,0	3,5	0,0	1,1	8,0	0,0	19,0	5,0	1,0	2,0	2,0	3,7	6,0	9,11	17,1	9,0	5,0	0,1	40,1	2,0	15,0	8,12	23,0	7,0	0,1	302,0	1,0	0,48	1,0	1,0	1,0	1,0	6,0	0,1	3,3	6,8	0,0	2,0	4,0	0,0	2,0	13,0	1,0	1,0	0,0	9,0	5,3	4,0	2,0	51,0	0,0	4,0	42,0	22,0	1,0	1,0	30,0	1,12	0,1	2,0	1,0	1,0	3,2	85,82	2,0	3,0	0,0	0,0	5,2	2,0	0,0	56,0	9,12	5,11	3,0	0,0	0,0	4,3	92,0	4,0	0,0	1,0	3,0	2,0	0,0
Tpa_2254_1	41,0	333,0	1,0	43,58	32,0	89,0	3,0	3,0	0,0	1,0	0,0	5,6	0,0	1,0	12,0	0,0	5,3	7,0	1,0	0,0	1,0	7,0	4,0	6,0	20,0	4,0	8,0	0,0	22,0	1,0	1,2	12,0	11,8	10,0	0,0	293,0	2,0	14,13	0,0	0,0	0,0	2,0	3,4	1,0	4,0	22,0	1,0	1,0	1,1	5,0	0,0	15,0	0,0	2,0	0,0	2,3	6,1	0,0	4,0	18,0	0,0	3,0	44,0	24,0	1,0	0,0	23,0	7,0	0,0	0,0	1,0	1,0	12,0	269,0	3,0	2,0	2,0	1,0	1,1	2,0	1,2	47,0	6,5	15,0	2,0	0,0	0,0	2,2	67,0	10,0	3,0	1,0	4,0	2,0	0,0
Tpa_2278_1	0,45	216,260	0,4	0,205	0,32	0,146	1,1	2,4	1,2	0,0	0,0	0,2	0,0	0,1	0,4	0,1	0,18	0,1	0,1	0,2	0,2	0,7	0,1	17,0	0,15	0,21	0,15	0,3	0,33	0,8	0,11	20,11	0,15	0,5	0,0	178,196	0,0	0,69	0,0	1,0	0,4	0,0	0,14	0,0	0,2	0,30	0,1	1,0	0,5	0,3	1,4	5,7	0,2	1,1	0,1	0,9	16,7	0,2	0,2	0,45	0,0	2,0	49,35	0,14	0,1	0,1	0,23	0,11	2,0	0,0	0,1	0,0	0,10	0,417	0,2	0,2	0,3	0,0	0,5	0,6	0,0	0,62	0,14	7,8	0,1	0,0	0,0	0,12	0,101	2,0	1,1	0,1	0,3	0,3	0,0
Tpa_2334_1	0,0	3,0	0,0	0,0	1,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
Tpa_2344_1	0,66	2,939	0,8	0,165	0,76	0,178	0,9	0,12	0,3	0,4	0,2	0,11	0,1	0,6	0,7	0,0	0,35	0,19	0,3	0,0	0,4	0,14	0,7	22,20	0,33	0,39	0,23	0,2	0,37	0,5	0,23	20,27	0,62	0,11	0,1	1,680	0,1	0,81	0,1	0,0	0,1	0,1	0,11	0,3	0,3	0,49	0,0	0,6	0,7	0,5	2,4	3,27	0,3	0,5	0,1	0,17	0,26	4,5	0,5	0,76	0,0	0,7	0,80	0,31	0,3	0,0	0,40	0,17	0,0	0,1	0,1	0,0	0,14	0,462	0,3	0,9	0,1	0,1	0,7	0,5	0,0	1,117	0,35	0,22	0,0	0,0	0,0	0,18	0,133	0,7	0,3	0,3	0,6	0,7	0,0
Tpa_2353_1	14,0	414,0	0,5	38,50	37,0	90,0	8,0	3,0	3,0	5,0	0,0	5,0	1,0	3,0	9,0	0,0	20,0	6,0	0,0	2,0	2,0	3,1	2,0	12,0	11,0	10,0	0,5	2,0	7,0	2,1	4,0	14,0	27,0	2,0	0,0	366,0	2,0	16,14	0,0	1,0	0,0	0,0	3,0	2,0	3,0	10,0	0,0	1,0	5,3	1,0	4,0	13,0	0,0	1,4	1,0	5,2	4,8	1,0	3,0	22,0	0,0	3,0	16,0	13,0	2,0	0,0	19,0	13,0	2,0	0,0	3,0	0,0	4,0	100,0	2,0	4,0	1,0	0,0	2,0	2,0	0,0	35,0	13,0	4,10	0,0	0,0	0,0	5,0	62,0	3,0	2,0	1,0	2,5	9,0	1,0
Tpa_2368_1	0,100	2,1110	0,5	0,646	0,165	0,245	0,18	0,13	0,8	0,19	0,0	0,28	0,0	0,13	0,17	0,1	0,47	0,23	0,2	0,4	0,5	0,40	0,28	0,50	0,60	0,90	0,43	0,5	0,122	0,13	0,60	0,71	0,48	0,12	0,2	0,961	0,3	1,294	0,3	0,2	0,2	0,3	0,17	0,4	0,11	0,97	0,2	0,8	0,12	0,5	0,6	0,42	0,3	0,4	0,8	0,25	0,28	0,3	0,8	0,175	0,2	0,12	0,164	0,69	0,5	0,2	0,48	0,27	0,0	0,0	0,5	0,4	0,23	0,796	0,8	0,8	0,2	0,0	0,5	0,11	0,3	0,187	0,47	0,73	0,6	0,0	0,1	0,16	0,330	0,9	0,4	0,4	0,8	0,9	0,3
Tpa_2412_1	0,10	0,204	0,2	0,12	0,8	0,51	0,0	0,0	0,2	0,1	0,0	1,1	0,0	0,0	0,2	0,0	0,8	0,5	0,0	0,1	0,1	0,1	0,0	0,4	0,2	0,5	0,5	0,0	0,2	0,0	0,1	0,5	0,8	0,0	0,0	0,173	0,0	0,7	0,1	0,1	0,0	0,1	0,5	0,0	0,2	0,3	0,0	0,2	0,4	0,4	0,1	0,1	0,1	0,1	0,0	0,5	0,6	0,1	0,1	0,7	0,0	0,0	0,3	0,3	0,3	0,0	0,5	0,3	0,0	0,0	0,0	0,0	0,2	0,20	0,2	0,1	0,0	0,0	0,0	0,1	0,0	0,1	0,3	0,6	0,0	0,0	0,0	0,0	0,9	0,0	0,2	0,0	0,3	0,1	0,0
Tpa_2417_1	0,7	0,229	0,4	0,52	0,16	0,34	0,2	0,3	0,2	0,3	0,0	0,2	0,0	0,2	0,8	0,0	0,7	0,8	0,0	0,1	0,0	0,8	0,7	0,11	0,9	2,4	0,9	0,0	0,6	0,0	0,2	0,12	0,14	0,1	0,0	0,157	0,0	0,24	0,3	0,0	0,1	0,0	0,5	0,1	0,2	0,10	0,1	0,4	0,4	0,2	0,1	0,13	0,1	0,4	0,1	4,7	0,10	0,2	0,1	0,20	0,1	0,3	0,13	0,14	0,2	0,2	0,14	0,11	0,0	0,0	0,2	0,0	0,7	0,104	0,0	0,4	1,0	0,1	0,3	0,2	0,1	0,22	0,10	0,15	0,2	0,0	0,0	0,3	0,47	0,0	0,2	0,0	0,9	0,5	0,0
